id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href
1058,xe ga espero 50vs diamond pro 2,18.500.000 đ,12.56 tr,14.75 tr,"Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Xe mới mua do nhu cầu đổi xe điện chạy nên bán lại.Giá có thể thương lượng cho ai thiện chí mua,Hãng khác,Dòng khác,2024,40,Đã sử dụng,Tay ga,Dưới 50 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-7-tp-ho-chi-minh/123220804.htm
3394,cần bán fz lốc vàng bssg zin chất,16.800.000 đ,18.07 tr,21.22 tr,"Phường 27, Quận Bình Thạnh, Tp Hồ Chí Minh","Xe cọp keng bảo dưỡng đầy đủ máy cực êm
Giá 16₫8 có thương lượng cho ae thiện tí tới coi trực tiếp Bình Thạnh HCM
Ko chính chủ bao tc giao cv gốc",Yamaha,FZ,2017,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123644992.htm
4035,Bán xe cup có đề,9.000.000 đ,3.35 tr,3.93 tr,"Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh","Xe cup như hình, giấy tờ đầy đủ , kg chính chủ, cho học sinh đi học,, giá 9 tr , liên hệ ***",Hãng khác,Dòng khác,2009,50000,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123217944.htm
1478,Can ban xe sh 150,45.000.000 đ,44.98 tr,52.8 tr,"Phường 14, Quận 10, Tp Hồ Chí Minh",Cần bán xe sh 150 xe mua mới 1 chủ từ đầu còn zin từ a đến z giá còn thương lượng,Honda,SH,2013,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-10-tp-ho-chi-minh/124195009.htm
3615,cần bán wave thái 110 bstp,26.000.000 đ,22.73 tr,26.69 tr,"Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","Wave thái 110 bstp , số khung số máy trùng nhau , ngay mình đứng tên công chứng mua bán uỷ quyền đều đc
dàn áo dán keo ko trày , dọn full zin",Honda,Wave,1999,0,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/124825297.htm
5609,Vespa Lx 125i Date 2010 Trắng Đen,6.000.000 đ,5.28 tr,6.2 tr,"Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Vespa Lx 125i Date 2010 Trắng Đen
Đăng kí 2010
Biển số : 70S2 0491",Piaggio,Vespa,2010,29113,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/123580063.htm
6435,Cần bán satria 2019 bstp chính chủ,29.500.000 đ,20.16 tr,23.67 tr,"Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",Satria 2019 bstp chính chủ . Máy móc nguyên zin odo 9k . Xe ít chạy chủ yếu đi cafe . Ai cần liên hệ em,Suzuki,Satria,2019,9000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/123221434.htm
6376,Bán wave s100 bstp gtdd xe mộc chưa dặm tút,9.300.000 đ,6.77 tr,7.94 tr,"Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","Bán wave S100 bstp gtdd xe zin không lai gì, máy rớt đầu cạo khói, bao êm như chó chết, tiền nào của nấy",Honda,Wave,2008,20000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/123384600.htm
231,cần bán ex 150 đời led,25.500.000 đ,22.36 tr,26.25 tr,"Phường 11, Quận 3, Tp Hồ Chí Minh","Xe zin dọn kiểng nhẹ 
Biển số tphcm chính chủ 
Cò lái né em !!",Yamaha,Exciter,2020,36000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123463062.htm
1039,YAMAHA ULTIMO Fi 207,4.567.800 đ,1.93 tr,2.26 tr,"Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh","Dọn kho còn còn dư 1 xe yamaha ULTIMO Fi đời 207, giấy tờ đầy đủ, xe để lâu ngày còn nguyên bụi. Máy để 2 năm chưa khởi động, bó phanh trước, lốp hết hơi, ace thiện chí qua xem xe tại 245 trần xuân soạn, phường tân kiệm, quận 7.",Yamaha,Dòng khác,2007,12345,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-7-tp-ho-chi-minh/123274068.htm
5690,Xe lead 2012,9.900.000 đ,7.87 tr,9.24 tr,"Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Xe biển thành phố
Màu vàng đồng
Chỉnh chủ quận 2
Odo : 90.000 km
Xe đi giữ kỹ
Xe bán công chứng mua bán sang tên luôn nhé các anh chị
Anh/ chị/ em nào có nhu cầu liên hệ mình ạ",Honda,Lead,2012,900000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/123497056.htm
6001,Cần bán xe Atila vàng,4.500.000 đ,3.11 tr,3.65 tr,"Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Cần bán xe ga Atila chính chủ, do không có nhu cầu sử dụng, Biển tỉnh Nghệ An, màu vàng. Tính trạng đi tốt. Phù hợp cho nam nữ
Liên hệ:Miss Nguyệt 
***",SYM,Attila,2010,100000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/122209462.htm
2111,xe Wave A 2019 Mới Lột Keo,12.000.000 đ,11.68 tr,13.71 tr,"Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh","Cần ra đi em nó tình trạng máy êm ru
Đầu chưa nhấc
Dàn áo đẹp 99 mới tháo keo
Biển số tình 
Có cà vẹt gốc bán cửa hàng bao tranh chấp",Honda,Wave,2019,35000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123752259.htm
2583,Bán Sym star 125 sr tay côn,11.000.000 đ,5.28 tr,6.2 tr,"Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",Xe nguyên zin. Máy cực êm xăng 65km/l. Chính chủ công chứng ngay. Xe không cấn bể. Liền lạc hết. Lớn tuổi không đi tay côn nên n bán.,SYM,Star,2017,80000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/124922449.htm
6280,Bán wave nhỏ,6.500.000 đ,7.1 tr,8.34 tr,"Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","🆘Em cần bán wave Liên doanh GTDD úp full anlpha đồ zin hãng, có cũ và trầy theo thời gian 
📌Cấu hình máy 54 dên fu (chở thuốc....)
Full cục anlpha
Mobin sường moric
Ic độ 
Đạp một cái là nổ
Bình xăng con ex 2010 chính hãng ( 2 củ hơn)
đã canh chỉnh ngọt xe.
Pô VD 168 móc theo bài
Xe đã lên sạc lớn 
📌Dàn áo zin anlpha hơi xù theo thời gian 
Choá 2 tầng (đã lên sạc lớn)
Heo trước, tay thắng ex 135 
Phuộc trước sirius 
Bánh căm trước sau
Niềng shark speed Thailand (900k)
Căm Osaki chính hãng ( 800k)
Phuộc sau Yss chính hãng (900 mấy)
Đồng hồ zin anlpha
Nhông sên dĩa STB chính hãng 
Đèn hậu zin anlpha 
Cùm công tắc zin
Vỏ sau maxxis 80/90/17
Vỏ trước 2.50/ 17
Giá em bán 6tr7 ( có bớt)
Ai cần ib em ạ
Em cảm ơn♥️♥️
Đ/C Cổng Đình Vĩnh Lộc B.",Honda,Wave,2006,90000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/123641627.htm
4575,"XS155R, bs saigon, dk T11.2024",71.000.000 đ,62.96 tr,73.91 tr,"Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh","XS155R, bs saigon, dk T11.2024
Odo 800km
Mẻ 1 phần tay côn bên trái do dắt xe trúng cửa.
Giá xe mới ra biển saigon là 84tr, nên a/c mua xe này thì tiết kiệm hơn 10tr

Giá bán: 71tr",Yamaha,XSR,2024,800,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-tan-phu-tp-ho-chi-minh/123572312.htm
2577,Honda SH 125i 125 chính chủ đầu tiên bstp TPHCM,40.500.000 đ,36.71 tr,43.09 tr,"Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","Em có chiếc Honda SH 125i 2014 màu trắng ngọc trai 125cc, Khoá thông minh điện tử từ xa, Phun xăng điện tử PGM-FI, Idling stop (Tắt động cơ khi dừng 5 giây), xe mới 98%. Biển số TP HCM. Cá nhân em test là 2.18L/100km ~ 46km/lít

1 chủ từ đầu luôn + giấy tờ đầy đủ. Điều quan trọng là chính chủ là em mua xe lần đầu, em cam kết được chuyện này + vệ sinh nồi thay nhớt đàng hoàng. Em đi đổ nhớt Motul tổng hợp toàn phần cứ 2 ngàn cây là e thay nhớt. Từ lúc tới giờ chạy không hư hỏng gì ngoài việc bể bánh xe cán đinh thôi 😂

Em không bán cho lái buôn, mong các a/c lái thông cảm. 
Mức mong muốn: Bốn chục củ rưỡi ạ
Nếu anh chị cá nhân nào muốn mua thiệt tình và vui vẻ thì em sẽ thương lượng gia giảm tý lộc. Em cám ơn tất cả a/c xem tin.",Honda,SH,2014,0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/124951457.htm
1373,Winer v1 bstp Máy êm chưa rớt,14.500.000 đ,13.96 tr,16.39 tr,"Phường 1, Quận 8, Tp Hồ Chí Minh","Xe Bstp chính chủ kí khó bán btc cho ae( giao full giấy chứng cmnd chủ) Máy pxl bao tê tái. Chất xe đẹp,Áo đẹp keng, ko trầy bao đẹp, Máy móc êm lực( chưa rớt đầu).Pô redleo cổ tăng,Ecu redleo, họng ga zin móc, pô e K&, Cặp Mâm 6 cây redleo,Dàn chân sơn zin sạch sẽ, ốc tán salaya full xe,Điện đề đèn đầy đủ. Ae mua về chỉ có việc sử dụng. Cảm ơn chợ tốt duyệt tin",Honda,Winner,2016,32000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-8-tp-ho-chi-minh/123246185.htm
5460,cần bán novo5 cực kì đẹp máy bao ngon,6.900.000 đ,7.62 tr,8.94 tr,"Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Cần bán novo5 máy bao ngon ngọt áo cực kì đẹp máy móc zin êm ru nồi láp k hú zin 100%
 Giấy tờ đầy đủ k9c xe hợp lệ có giấy mua bán tại nhà chuẩn chỉnh xe về chạy không tốn thêm ngàn nào hết 
Aec cần alo em có ship khu vực tphcm (có cọc là ship sợ lừa đảo coi xe trực tiếp )
Có bớt tiền xăng cộ ạ",Yamaha,Nouvo,2015,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/123755382.htm
2407,Winner X 2019,16.000.000 đ,16.51 tr,19.38 tr,"Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","Mình bán Winner X giá 16tr. Bớt tiền xăng cho ai thiện chí mua. Xe mua bán có giấy cửa hàng bao tranh chấp. Xe máy zin, có smartkey chống trộm đầy đủ.
Xem xe Tô Ký quận 12.",Honda,Winner X,2019,75000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123263427.htm
4428,Bán xe Exciter 155 VVA khóa Smartkey 2022,35.000.000 đ,28.79 tr,33.8 tr,"Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","Dư dùng cần bán Exciter 155VVA 2022. ODO 16.000. Xe chạy kỹ bảo trì đầy đủ. Chính chủ sang tên 1 nốt nhạc. Giá 35tr. Xem xe Tân Bình, hẹn trước. Cần người mua sử dụng, cò lái ép giá xin né giùm em!",Yamaha,Exciter,2022,16000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-tan-binh-tp-ho-chi-minh/123508851.htm
5785,"Xe vario 2019 chính chủ, 1 đời chủ",34.500.000 đ,30.2 tr,35.45 tr,"Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Cần bán xe vario 2019 odo29k
Xe chính chủ, 1đời chủ
Xe nhà đi rất kĩ máy nguyên zin còn êm ru về đổ xăng là đi thoải mái, ae test xe thoải mái
Giá còn thương lượng cho ae có thiện chí
Ae lh sđt này nha: ***",Honda,Vario,2019,29000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/123408372.htm
2299,BN302 xe máy móc êm zin đảm bảo uy tín,36.000.000 đ,20.8 tr,24.41 tr,"Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","AE suy nghĩ gì nữa hốt em này về mà chạy, máy móc là khởi lo nha AE. Giá lại tốt nữa. Xem xe LH em . Địa chỉ song hành Q12 ( cách đường Nguyễn Văn quá 500m. Zalo ***.",Honda,Dòng khác,2016,5000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123447024.htm
3505,Vario Indo 160 - dk t12/2022,42.000.000 đ,36.06 tr,42.33 tr,"Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh","Mình nhà chật muốn bán xe nhà đi vario dk T11/2022 xe nhập indo đi được 15 ngàn km hơn gần 16 ngàn.
Xe zin hết sơn zin có dán keo trong nguyên xe . Zem xe tại Q1",Honda,Vario,2023,15800,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123327104.htm
6174,em cần bán xe lead máy êm giấy tờ đày đủ,6.500.000 đ,6.64 tr,7.79 tr,"Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","Em cần bán xe lead giấy tờ hợp lệ
***",Honda,Lead,2010,22,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/124022040.htm
1776,vario 150i đời 2021..1 chủ odo 21.000km,36.300.000 đ,32.11 tr,37.7 tr,"Phường 14, Quận 11, Tp Hồ Chí Minh","vario 150cc đời 2021 smatkey trắng cam sprot rất đẹp (khoá thông minh smartkey) đời cuối cùng của mẫu này 
❌xe mình Odo 21.000 km còn rất mới (khỏi cần tả)
🔋vỏ theo xe 1 cặp 
🔋xe còn rất đẹp ít hao xăng..đi lòng vòng chưa bao giờ đi xa..trùm mền chủ yếu..
🔋xe 2 remot 
Xe ngay chủ 5 số..biển thành phố bình duơng 61❌ ngay mình đứng tên….sang tên 1 nốt nhạc..xem xe q11...ngay chủ bán..",Honda,Vario,2021,21000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/118692031.htm
3568,Dylan lên SH 150i + smartkey bstp máy cực êm,16.800.000 đ,8.01 tr,9.41 tr,"Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","Không có nhu cầu sử dụng nên cần bán Dylan bstp đã lên full dàn áo SH, lên sẵn smartkey
Xe máy móc êm ru, khộnh lỗi lầm, dàn ngoài trầy xước nhẹ theo năm tháng.
Mua bán tại nhà, bao tranh chấp toàn quốc.
Giá: 16.800.000 (mong gặp người thiện chí)
Xem xe trực tiếp tại Bình Thạnh, HCM.
Cảm ơn mọi người đã đọc tin",Honda,Dylan,2005,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/120485659.htm
3652,BÁN HONDA REBEL 125cc,94.000.000 đ,86.48 tr,101.52 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","- Honda Rebel 125cc hqcn đẹp leng keng 
- Zin nguyên, máy mạnh, êm ngay chủ, 
- Bao rút hồ sơ sang tên toàn quốc 

☎️ *** (zalo)
🚛 Ship Cod Toàn Quốc",Honda,Rebel,1998,72000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/124952651.htm
3536,Thanh Lý xe giá rẻ,3.200.000 đ,6.44 tr,7.56 tr,"Phường 27, Quận Bình Thạnh, Tp Hồ Chí Minh","ngoại hình liền lạc, giấy tờ đầy đủ, bình yếu không đề được",SYM,Dòng khác,2015,100000,Đã sử dụng,Xe số,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123252718.htm
5995,YAMAHA EXCTTER 150 đẹp hoạ động hoàn hảo,13.500.000 đ,14.95 tr,17.54 tr,"Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","YAMAHA EXCTTER 150 đẹp hoạ động hoàn hảo 
Máy mạnh chạy êm 
Giấy tờ đầy đủ",Yamaha,Exciter,2016,235345,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/123167871.htm
737,Bán xe tay ga như hình,9.000.000 đ,6.83 tr,8.02 tr,"Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh","Cần bán chiếc xe như hình. 
Giấy tờ đầy đủ
Máy bao êm chưa bung
 Giá 9tr. Xe nhỏ gọn, thích hợp cho nữ chạy",Yamaha,Luvias,2013,200000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-7-tp-ho-chi-minh/125003249.htm
7055,Thanh Lý xe Wave RSX,8.000.000 đ,6.99 tr,8.21 tr,"Xã Xuân Thới Đông, Huyện Hóc Môn, Tp Hồ Chí Minh",Dư xe cần thanh lý xe Wave RSX chính chủ . Liên hệ xem xe trực tiếp .,Honda,Wave,2012,82000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-hoc-mon-tp-ho-chi-minh/119336997.htm
1766,cần bán ab đầu bò tháng 12-2011,10.300.000 đ,10.02 tr,11.76 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh",Bán(đỏi)ab đàu bò xs:12-2011 chính chủ cong chứng mua bán uỷ quyèn ok . Giá mong muón 10.300.000₫ cảm ơn chợ tốt đã duỵet tin🔊📢🇯🇵,Honda,Air Blade,2011,82000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123227162.htm
5573,Cần bán xe nhà em sự dũng xe em bao zin gia 110tr,110.000.000 đ,95.08 tr,111.62 tr,"Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Cần bán xe nhà em sự dũng xe mau y gia 110tr,Honda,SH,2010,40000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/123621136.htm
5824,Bán Wave Aphal 208 biển thành phố máy cực êm,6.700.000 đ,6.77 tr,7.94 tr,"Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","máy móc êm k hú hí, cày bừa thoải mái,Mọi chức năng đầy đủ,Mua về đổ xăng là Chạy, có bớt anh em nhanh gọn giáy tờ đầy đủ bao tranh chấp",Honda,Wave,2008,0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/123370841.htm
4014,"cần bán xe wave 2022,có fix cho ae lấy nhanh",16.000.000 đ,14.31 tr,16.8 tr,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","Xe đã đi được 3100km
Tình trạng xe còn mới
Không đâm đụng
Giấy tờ sang tên nhanh gọn
Do nhà dư xe nên cần bán
Có fix cho ae lấy nhanh",Honda,Wave,2022,31000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123259603.htm
2099,"Bán xe Cub 50cc Bso Tp 8,5tr",8.500.000 đ,7.76 tr,9.11 tr,"Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","- Xe Honda Cub 50cc , Bso Tp, Cavet đầy đủ.

- Xe rất nhạy nổ, lợi xăng , xe đang đi làm hàng ngày bt. Đèn kèn to rõ.
- Đã thay bình xăng lớn.
- Baga sườn mới, inox dày.
- Rổ xe đồ chơi Nhật dày đẹp, mới.
- Mới thay niềng trước, cặp bánh mới
- Còn đủ bộ khoá zin mới, 3 vị trí dùng 1 chìa: Nổ, Cổ, Hông
- Đã thay mới: Xi nhan sau, Niềng trước, 02 bánh mới + ruột
- Sơn cũ, một số vị trí sườn có gỉ.",Honda,Cub,1999,40000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123769575.htm
4616,Bán Xe yamaha ultimo,8.500.000 đ,6.19 tr,7.26 tr,"Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","Mio Utimo Xe Nhà Đi Đời Cao Cuối 11/2009 Biển Số Thành Phố Chính Chủ. Sang Tên 1 Nốt Nhạc. 

- Máy Móc Zin Êm. Gaanti Nhiễn Nhừ

- Dàn Áo Leng Keng Bóng Lưỡng. 

- Cặp Vỏ Còn Dày Cui 

- Dòng Này Chạy Siêu Đã. Anh Chị Em Mua Về Chỉ Việc Chạy. 

Giá Bán Chỉ 8.500.000 ( Tám Triệu Mấy ). 

Liên hệ : ***",Yamaha,Mio,2016,69999,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-tan-phu-tp-ho-chi-minh/124684467.htm
5244,Xe chạy bình thường vk vẫn đi làm thường ngày,15.500.000 đ,16.83 tr,19.75 tr,"Phường Long Phước (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Bán xe tai ga đang chạy bình thường vk mình đang đi làm hàng ngày ban số tỉnhlúc trước mua của cửa hàng giờ bán lại viết giấy tai lien hệ số điện thoại của mình ***,Honda,Vision,2016,25,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/124417760.htm
3232,Bán xe Honda PS 2012,61.000.000 đ,,,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",Tốt đang thỉnh thoảng đang sử dụng khi cần đi công việc,Honda,PS,2012,61325,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/124889165.htm
3765,Ducati scrambler 800 bssg 2016,125.000.000 đ,115.38 tr,135.44 tr,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","Cần bán ducati scrambler 800 đời 2016 BSSG ký mua bán sang tên.
- Xe đã lên những món cơ bản : 
chống đổ
gương gù
cùm tăng
bảo vệ gầm
pô HP corse
che két
bảo vệ choá
mão
kẹp dt
sạc dt 2 cổng type C, usb
- Còn full đồ zin ( ghi-đong, pô, ốp hông )
- Đã desmo móc 30k ( xe còn 6300km nữa mới tới kỳ desmo )
- Xe đã bảo dưỡng thay nhớt hoàn chỉnh mua về đổ xăng chạy
Bao ae check tình trạng thoải mái, có fix tốt cho ae nhanh lẹ 👍",Ducati,Scrambler,2016,34500,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/124045903.htm
7207,Bán xe Future Đời đầu Chính Chủ,10.500.000 đ,14.16 tr,16.63 tr,"Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","Xe cũ theo năm tháng những vẫn còn đẹp và liền lạc , xe giữ chất zin
Xe chính chủ kí uy quyền hoặc mua bán 
Máy móc em , điện đèn đề đầy đủ mua về chỉ đổ xăng và chạy
Xe chạy đi làm và cfe vòng vòng
- Ai thiện chí hoặc ở xa em bớt cfe",Honda,Future,2000,80000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-nha-be-tp-ho-chi-minh/121196629.htm
